results_dir,splits,valid,note,model,task,seed,split,max_length,truncation,loss,source_file,weighted_f1,macro_f1,macro_f1_10,micro_f1,positive_class_f1,no_distortion_f1
results,data/splits,True,"Annotated_data only, frozen 80/10/10",mental/mental-bert-base-uncased,binary,42.0,test,512,head,,eval_mental-bert-base-uncased_binary_42.json,0.7108025614938057,0.691869651086241,,0.7075098814229249,0.7612903225806451,
results,data/splits,True,"Annotated_data only, frozen 80/10/10",mental/mental-bert-base-uncased,binary,1337.0,test,512,head,,eval_mental-bert-base-uncased_binary_1337.json,0.7305343614051908,0.7132226110098072,,0.7272727272727273,0.7766990291262136,
results,data/splits,True,"Annotated_data only, frozen 80/10/10",mental/mental-bert-base-uncased,binary,2024.0,test,512,head,,eval_mental-bert-base-uncased_binary_2024.json,0.7140417066090392,0.6942674104851926,,0.7114624505928854,0.7667731629392971,
results,data/splits,True,"Annotated_data only, frozen 80/10/10",mental/mental-bert-base-uncased,binary,42.0,val,512,head,,eval_mental-bert-base-uncased_binary_42.json,0.7543418373457899,0.7432216905901117,,0.7509881422924901,0.7878787878787878,
results,data/splits,True,"Annotated_data only, frozen 80/10/10",mental/mental-bert-base-uncased,binary,1337.0,val,512,head,,eval_mental-bert-base-uncased_binary_1337.json,0.7505354027093158,0.7395109395109395,,0.7470355731225297,0.7837837837837838,
results,data/splits,True,"Annotated_data only, frozen 80/10/10",mental/mental-bert-base-uncased,binary,2024.0,val,512,head,,eval_mental-bert-base-uncased_binary_2024.json,0.7304550242723812,0.7170893768738352,,0.7272727272727273,0.770764119601329,
results,data/splits,True,"Annotated_data only, frozen 80/10/10",roberta-base,binary,42.0,test,512,head,,eval_roberta-base_binary_42.json,0.6960006735707671,0.671954197187842,,0.6956521739130435,0.7601246105919003,
results,data/splits,True,"Annotated_data only, frozen 80/10/10",roberta-base,binary,1337.0,test,512,head,,eval_roberta-base_binary_1337.json,0.7121625290694243,0.6961108946890013,,0.7075098814229249,0.7549668874172185,
results,data/splits,True,"Annotated_data only, frozen 80/10/10",roberta-base,binary,2024.0,test,512,head,,eval_roberta-base_binary_2024.json,0.7518146614587699,0.7328047206343352,,0.7509881422924901,0.8025078369905956,
results,data/splits,True,"Annotated_data only, frozen 80/10/10",roberta-base,binary,42.0,val,512,head,,eval_roberta-base_binary_42.json,0.7596117035410201,0.7445248224602294,,0.758893280632411,0.805111821086262,
results,data/splits,True,"Annotated_data only, frozen 80/10/10",roberta-base,binary,1337.0,val,512,head,,eval_roberta-base_binary_1337.json,0.7584871669601541,0.748331408034912,,0.7549407114624506,0.7891156462585034,
results,data/splits,True,"Annotated_data only, frozen 80/10/10",roberta-base,binary,2024.0,val,512,head,,eval_roberta-base_binary_2024.json,0.7815486235387025,0.7714248838409912,,0.7786561264822134,0.8120805369127517,
results,data/splits,True,"Annotated_data only, frozen 80/10/10",mental/mental-bert-base-uncased,multiclass,42.0,test,512,head,,eval_mental-bert-base-uncased_multiclass_42.json,0.2686687741569392,0.15112181382833476,0.11260271029496711,0.2727272727272727,,0.5363128491620112
