tag,task,model,seed,trained_on,loss,exam,test_set,home_is_yardstick,leaked,weighted_f1,macro_f1,macro_f1_10,micro_f1,positive_class_f1,no_distortion_f1,checkpoint
exp2_annotated_only_multilabel_mental-roberta-base_weighted_bce_none_1337,multilabel,mental/mental-roberta-base,1337,data/splits,weighted_bce,home,data/splits,True,False,0.2668942614715101,0.2533507914764146,,0.2757111597374179,,,results_RUN2/results_experiments/exp2/annotated_only/checkpoints/exp2_annotated_only_multilabel_mental-roberta-base_weighted_bce_none_1337
exp2_annotated_only_multilabel_mental-roberta-base_weighted_bce_none_1337,multilabel,mental/mental-roberta-base,1337,data/splits,weighted_bce,yardstick,data/splits,True,False,0.2668942614715101,0.2533507914764146,,0.2757111597374179,,,results_RUN2/results_experiments/exp2/annotated_only/checkpoints/exp2_annotated_only_multilabel_mental-roberta-base_weighted_bce_none_1337
exp2_annotated_only_multilabel_mental-roberta-base_weighted_bce_none_2024,multilabel,mental/mental-roberta-base,2024,data/splits,weighted_bce,home,data/splits,True,False,0.2842366615677003,0.2741338921126156,,0.2815126050420168,,,results_RUN2/results_experiments/exp2/annotated_only/checkpoints/exp2_annotated_only_multilabel_mental-roberta-base_weighted_bce_none_2024
exp2_annotated_only_multilabel_mental-roberta-base_weighted_bce_none_2024,multilabel,mental/mental-roberta-base,2024,data/splits,weighted_bce,yardstick,data/splits,True,False,0.2842366615677003,0.2741338921126156,,0.2815126050420168,,,results_RUN2/results_experiments/exp2/annotated_only/checkpoints/exp2_annotated_only_multilabel_mental-roberta-base_weighted_bce_none_2024
exp2_annotated_only_multilabel_mental-roberta-base_weighted_bce_none_42,multilabel,mental/mental-roberta-base,42,data/splits,weighted_bce,home,data/splits,True,False,0.2893032017959896,0.2775044947643396,,0.2874015748031496,,,results_RUN2/results_experiments/exp2/annotated_only/checkpoints/exp2_annotated_only_multilabel_mental-roberta-base_weighted_bce_none_42
exp2_annotated_only_multilabel_mental-roberta-base_weighted_bce_none_42,multilabel,mental/mental-roberta-base,42,data/splits,weighted_bce,yardstick,data/splits,True,False,0.2893032017959896,0.2775044947643396,,0.2874015748031496,,,results_RUN2/results_experiments/exp2/annotated_only/checkpoints/exp2_annotated_only_multilabel_mental-roberta-base_weighted_bce_none_42
exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_1337,multilabel,mental/mental-roberta-base,1337,data/splits,weighted_bce,home,data/splits,True,False,0.2408329664725933,0.233651498612106,,0.2361904761904762,,,results_RUN2/results_experiments/exp2/annotated_plus_codipas/checkpoints/exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_1337
exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_1337,multilabel,mental/mental-roberta-base,1337,data/splits,weighted_bce,yardstick,data/splits,True,False,0.2408329664725933,0.233651498612106,,0.2361904761904762,,,results_RUN2/results_experiments/exp2/annotated_plus_codipas/checkpoints/exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_1337
exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_2024,multilabel,mental/mental-roberta-base,2024,data/splits,weighted_bce,home,data/splits,True,False,0.2454942311077483,0.2339248334829465,,0.2366863905325443,,,results_RUN2/results_experiments/exp2/annotated_plus_codipas/checkpoints/exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_2024
exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_2024,multilabel,mental/mental-roberta-base,2024,data/splits,weighted_bce,yardstick,data/splits,True,False,0.2454942311077483,0.2339248334829465,,0.2366863905325443,,,results_RUN2/results_experiments/exp2/annotated_plus_codipas/checkpoints/exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_2024
exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_42,multilabel,mental/mental-roberta-base,42,data/splits,weighted_bce,home,data/splits,True,False,0.2257861066349852,0.2235075975400027,,0.219959266802444,,,results_RUN2/results_experiments/exp2/annotated_plus_codipas/checkpoints/exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_42
exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_42,multilabel,mental/mental-roberta-base,42,data/splits,weighted_bce,yardstick,data/splits,True,False,0.2257861066349852,0.2235075975400027,,0.219959266802444,,,results_RUN2/results_experiments/exp2/annotated_plus_codipas/checkpoints/exp2_annotated_plus_codipas_multilabel_mental-roberta-base_weighted_bce_none_42
exp2_codipas_only_multilabel_mental-roberta-base_weighted_bce_none_1337,multilabel,mental/mental-roberta-base,1337,data/splits,weighted_bce,home,data/splits,True,False,0.213070188070188,0.1913222556079699,,0.2454728370221328,,,results_RUN2/results_experiments/exp2/codipas_only/checkpoints/exp2_codipas_only_multilabel_mental-roberta-base_weighted_bce_none_1337
exp2_codipas_only_multilabel_mental-roberta-base_weighted_bce_none_1337,multilabel,mental/mental-roberta-base,1337,data/splits,weighted_bce,yardstick,data/splits,True,False,0.213070188070188,0.1913222556079699,,0.2454728370221328,,,results_RUN2/results_experiments/exp2/codipas_only/checkpoints/exp2_codipas_only_multilabel_mental-roberta-base_weighted_bce_none_1337
exp2_codipas_only_multilabel_mental-roberta-base_weighted_bce_none_2024,multilabel,mental/mental-roberta-base,2024,data/splits,weighted_bce,home,data/splits,True,False,0.2335732372887481,0.2189430995123741,,0.2490421455938697,,,results_RUN2/results_experiments/exp2/codipas_only/checkpoints/exp2_codipas_only_multilabel_mental-roberta-base_weighted_bce_none_2024
exp2_codipas_only_multilabel_mental-roberta-base_weighted_bce_none_2024,multilabel,mental/mental-roberta-base,2024,data/splits,weighted_bce,yardstick,data/splits,True,False,0.2335732372887481,0.2189430995123741,,0.2490421455938697,,,results_RUN2/results_experiments/exp2/codipas_only/checkpoints/exp2_codipas_only_multilabel_mental-roberta-base_weighted_bce_none_2024
exp2_codipas_only_multilabel_mental-roberta-base_weighted_bce_none_42,multilabel,mental/mental-roberta-base,42,data/splits,weighted_bce,home,data/splits,True,False,0.22362680544669108,0.20402735839295727,,0.24830699774266365,,,results_RUN2/results_experiments/exp2/codipas_only/checkpoints/exp2_codipas_only_multilabel_mental-roberta-base_weighted_bce_none_42
exp2_codipas_only_multilabel_mental-roberta-base_weighted_bce_none_42,multilabel,mental/mental-roberta-base,42,data/splits,weighted_bce,yardstick,data/splits,True,False,0.22362680544669108,0.20402735839295727,,0.24830699774266365,,,results_RUN2/results_experiments/exp2/codipas_only/checkpoints/exp2_codipas_only_multilabel_mental-roberta-base_weighted_bce_none_42
